Sail Year,Sail Month,Product,Weekend,Monday,Tuesday,Wednesday,Thursday,Friday
2024,12,7N CARIBBEAN,19%,18%,19%,15%,13%,16%
2024,12,SHORT CARIBBEAN,21%,18%,16%,15%,13%,17%
2025,1,7N CARIBBEAN,14%,18%,20%,17%,16%,15%
2025,1,SHORT CARIBBEAN,21%,22%,19%,15%,12%,12%
2025,2,7N CARIBBEAN,11%,17%,18%,18%,18%,18%
2025,2,SHORT CARIBBEAN,21%,21%,18%,16%,12%,11%
2025,3,7N CARIBBEAN,14%,18%,18%,18%,17%,15%
2025,3,SHORT CARIBBEAN,21%,21%,20%,16%,13%,10%
2025,4,7N CARIBBEAN,13%,17%,19%,19%,16%,16%
2025,4,EUROPE,10%,14%,17%,20%,20%,19%
2025,4,SHORT CARIBBEAN,17%,20%,18%,16%,14%,15%
2025,5,7N CARIBBEAN,13%,19%,19%,19%,17%,14%
2025,5,ALASKA,11%,15%,17%,18%,19%,20%
2025,5,EUROPE,9%,16%,18%,18%,17%,23%
2025,5,SHORT CARIBBEAN,15%,20%,20%,17%,16%,13%
2025,6,7N CARIBBEAN,13%,19%,17%,17%,16%,17%
2025,6,ALASKA,10%,16%,18%,18%,19%,19%
2025,6,EUROPE,9%,15%,17%,18%,20%,21%
2025,6,SHORT CARIBBEAN,13%,19%,19%,18%,17%,15%
2025,7,7N CARIBBEAN,13%,18%,18%,17%,18%,16%
2025,7,ALASKA,10%,16%,18%,19%,18%,18%
2025,7,EUROPE,8%,14%,17%,18%,20%,22%
2025,7,SHORT CARIBBEAN,8%,15%,17%,20%,20%,20%
2025,8,7N CARIBBEAN,10%,18%,19%,19%,18%,17%
2025,8,ALASKA,8%,16%,19%,20%,19%,17%
2025,8,EUROPE,7%,14%,16%,19%,22%,22%
2025,8,SHORT CARIBBEAN,6%,13%,16%,20%,23%,22%
2025,9,7N CARIBBEAN,8%,16%,18%,19%,20%,18%
2025,9,ALASKA,9%,16%,18%,19%,20%,19%
2025,9,EUROPE,9%,14%,17%,18%,20%,22%
2025,9,SHORT CARIBBEAN,6%,13%,17%,20%,22%,22%
2025,10,7N CARIBBEAN,9%,16%,17%,19%,19%,20%
2025,10,ALASKA,8%,14%,15%,17%,22%,24%
2025,10,EUROPE,9%,15%,17%,18%,20%,21%
2025,10,SHORT CARIBBEAN,5%,12%,17%,20%,23%,23%
2025,11,7N CARIBBEAN,8%,15%,17%,19%,20%,20%
2025,11,SHORT CARIBBEAN,6%,13%,17%,20%,22%,22%
2025,12,7N CARIBBEAN,8%,15%,18%,20%,20%,20%
2025,12,SHORT CARIBBEAN,6%,12%,17%,20%,22%,23%
2026,1,7N CARIBBEAN,6%,14%,17%,19%,22%,22%
2026,1,SHORT CARIBBEAN,6%,12%,15%,19%,23%,25%
2026,2,7N CARIBBEAN,7%,14%,17%,19%,21%,22%
2026,2,SHORT CARIBBEAN,5%,12%,15%,20%,23%,26%
2026,3,7N CARIBBEAN,6%,12%,17%,19%,23%,22%
2026,3,SHORT CARIBBEAN,5%,12%,15%,20%,24%,24%
2026,4,7N CARIBBEAN,7%,13%,17%,20%,23%,20%
2026,4,EUROPE,4%,10%,12%,17%,26%,31%
2026,4,SHORT CARIBBEAN,7%,12%,16%,19%,24%,22%
2026,5,7N CARIBBEAN,5%,13%,17%,22%,27%,17%
2026,5,ALASKA,5%,14%,16%,19%,20%,25%
2026,5,EUROPE,7%,12%,15%,18%,20%,28%
2026,5,SHORT CARIBBEAN,-2%,6%,16%,18%,39%,23%
2026,6,7N CARIBBEAN,3%,10%,17%,23%,29%,19%
2026,6,ALASKA,6%,12%,15%,19%,22%,26%
2026,6,EUROPE,5%,11%,17%,21%,24%,22%
2026,7,7N CARIBBEAN,5%,13%,18%,21%,25%,19%
2026,7,ALASKA,5%,11%,16%,19%,22%,27%
2026,7,EUROPE,7%,14%,18%,21%,22%,17%
2026,8,7N CARIBBEAN,4%,14%,20%,23%,30%,9%
2026,8,ALASKA,5%,10%,14%,18%,19%,33%
2026,8,EUROPE,8%,16%,20%,21%,24%,11%
2026,9,7N CARIBBEAN,7%,16%,19%,19%,25%,13%
2026,9,ALASKA,5%,12%,14%,18%,19%,32%
2026,9,EUROPE,6%,10%,13%,15%,18%,37%
2026,10,7N CARIBBEAN,5%,12%,18%,20%,26%,20%
2026,10,ALASKA,4%,10%,14%,19%,24%,29%
2026,10,EUROPE,4%,8%,10%,11%,16%,51%
2026,11,7N CARIBBEAN,6%,10%,15%,15%,19%,34%
2026,11,EUROPE,3%,9%,10%,10%,12%,56%
2026,12,7N CARIBBEAN,5%,11%,14%,15%,19%,36%
2027,1,7N CARIBBEAN,4%,8%,13%,15%,24%,36%
2027,2,7N CARIBBEAN,5%,11%,14%,18%,28%,25%
2027,3,7N CARIBBEAN,5%,14%,21%,21%,24%,15%
2027,4,7N CARIBBEAN,4%,10%,16%,22%,28%,20%
